#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Elizabethkingia bruuniana","Bacteria;FCB group;Bacteroidetes/Chlorobi group","G0146","SAMN05277827","PRJNA326741","GCA_002024805.1","Complete","chromosome:NZ_CP014337.1/CP014337.1",1,"2017-03-10T00:00:00Z"
"Burkholderia stagnalis","Bacteria;Proteobacteria;Betaproteobacteria","MSMB735WGS","SAMN03449637","PRJNA279182","GCA_001718955.1","Complete","chromosome 1:NZ_CP013459.1/CP013459.1; chromosome 2:NZ_CP013461.1/CP013461.1; chromosome 3:NZ_CP013460.1/CP013460.1",3,"2016-09-02T00:00:00Z"
"Streptomyces griseochromogenes","Bacteria;Terrabacteria group;Actinobacteria","ATCC 14511","SAMN04375936","PRJNA307132","GCA_001542625.2","Complete","chromosome:NZ_CP016279.1/CP016279.1",1,"2016-07-05T00:00:00Z"
"Aerococcus urinaehominis","Bacteria;Terrabacteria group;Firmicutes","CCUG42038B","SAMN04419115","PRJNA308559","GCA_001543245.1","Complete","chromosome:NZ_CP014163.1/CP014163.1",1,"2016-02-01T00:00:00Z"
"Limnochorda pilosa","Bacteria;Terrabacteria group;Firmicutes","HC45","SAMD00034894","PRJDB4026","GCA_001544015.1","Complete","chromosome Unknown:NZ_AP014924.1/AP014924.1",1,"2015-08-21T00:00:00Z"
"Halomonas chromatireducens","Bacteria;Proteobacteria;Gammaproteobacteria","AGD 8-3","SAMN04281796","PRJNA302842","GCA_001545155.1","Complete","chromosome:NZ_CP014226.1/CP014226.1",1,"2016-02-02T00:00:00Z"
"Paracoccus aminovorans","Bacteria;Proteobacteria;Alphaproteobacteria","JCM7685","SAMEA3320986","PRJEB8789","GCA_900005615.1","Complete","chromosome I:NZ_LN832559.1/LN832559.1; plasmid II:NZ_LN832560.1/LN832560.1; plasmid III:NZ_LN832561.1/LN832561.1; plasmid IV:NZ_LN832562.1/LN832562.1",4,"2017-08-14T23:03:00Z"
"Thermosulfidibacter takaii ABI70S6","Bacteria;Aquificae;Aquificae","ABI70S6","SAMD00061062","PRJDB865","GCA_001547735.1","Complete","chromosome Unknown:NZ_AP013035.1/AP013035.1",1,"2015-12-02T00:00:00Z"
"Vibrio tritonius","Bacteria;Proteobacteria;Gammaproteobacteria","JCM 16456","SAMD00019582","PRJDB3095","GCA_001547935.1","Complete","chromosome 1:NZ_AP014635.1/AP014635.1; chromosome Unknown:NZ_AP014636.1/AP014636.1",2,"2015-09-11T00:00:00Z"
"Asaia bogorensis NBRC 16594","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 16594","SAMD00019081","PRJDB519","GCA_001547995.1","Complete","chromosome Unknown:NZ_AP014690.1/AP014690.1",1,"2015-10-14T00:00:00Z"
"Paenibacillus jilunlii","Bacteria;Terrabacteria group;Firmicutes","KACC 16679","SAMN13783698","PRJNA600149","GCA_010450915.1","Complete","chromosome:NZ_CP048429.1/CP048429.1",1,"2020-02-12T00:00:00Z"
"Caldimicrobium thiodismutans","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","TF1","SAMD00039083","PRJDB4154","GCA_001548275.1","Complete","chromosome Unknown:NZ_AP014945.1/AP014945.1",1,"2016-01-06T00:00:00Z"
"Actinomyces radicidentis","Bacteria;Terrabacteria group;Actinobacteria","CCUG 36733","SAMN04435863","PRJNA282954","GCA_001553565.1","Complete","chromosome:NZ_CP014228.1/CP014228.1",1,"2016-02-09T00:00:00Z"
"Desulfovibrio fairfieldensis","Bacteria;Proteobacteria;delta/epsilon subdivisions","CCUG 45958","SAMN04435860","PRJNA282954","GCA_001553605.1","Complete","chromosome:NZ_CP014229.1/CP014229.1",1,"2016-02-09T00:00:00Z"
"Pseudoxanthomonas mexicana","Bacteria;Proteobacteria;Gammaproteobacteria","GTZY2","SAMN15904586","PRJNA652194","GCA_014397415.1","Complete","chromosome:NZ_CP060731.1/CP060731.1",1,"2020-09-02T00:00:00Z"
"Faecalibaculum rodentium","Bacteria;Terrabacteria group;Firmicutes","ALO17","SAMN03568900","PRJNA282363","GCA_001564455.1","Complete","chromosome:NZ_CP011391.1/CP011391.1",1,"2016-02-22T00:00:00Z"
"Myxococcus hansupus","Bacteria;Proteobacteria;delta/epsilon subdivisions","mixupus","SAMN02469988","PRJNA167109","GCA_000280925.3","Complete","chromosome:NZ_CP012109.1/CP012109.1",1,"2015-07-16T00:00:00Z"
"Alteromonas addita","Bacteria;Proteobacteria;Gammaproteobacteria","R10SW13","SAMN04372247","PRJNA307085","GCA_001562195.1","Complete","chromosome:NZ_CP014322.1/CP014322.1",1,"2016-02-17T00:00:00Z"
"Christensenella minuta","Bacteria;Terrabacteria group;Firmicutes","DSM 22607","SAMN06329641","PRJNA374621","GCA_003628755.1","Complete","chromosome:NZ_CP029256.1/CP029256.1",1,"2018-10-11T00:00:00Z"
"Tsukamurella tyrosinosolvens","Bacteria;Terrabacteria group;Actinobacteria","MH1","SAMN04157994","PRJNA298288","GCA_002869785.1","Complete","chromosome:NZ_CP019066.1/CP019066.1",1,"2018-01-09T00:00:00Z"
"Corynebacterium simulans","Bacteria;Terrabacteria group;Actinobacteria","Wattiau","SAMN04435330","PRJNA309522","GCA_001586235.1","Complete","chromosome:NZ_CP014635.1/CP014635.1",1,"2016-03-10T00:00:00Z"
"Steroidobacter denitrificans","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 18526","SAMN03776156","PRJNA287097","GCA_001579945.1","Complete","chromosome:NZ_CP011971.1/CP011971.1",1,"2016-03-03T00:00:00Z"
"Enterobacter roggenkampii","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 16690","SAMN05581750","PRJNA259658","GCA_001729805.1","Complete","chromosome:NZ_CP017184.1/CP017184.1; plasmid pDSMZ16690:NZ_CP017185.1/CP017185.1",2,"2016-09-16T00:00:00Z"
"Gluconobacter albidus","Bacteria;Proteobacteria;Alphaproteobacteria","TMW2.1191","SAMN04396919","PRJNA311264","GCA_002005485.1","Complete","chromosome:NZ_CP014689.1/CP014689.1; plasmid pGS1191_1:NZ_CP014690.1/CP014690.1",2,"2017-02-22T00:00:00Z"
"Collimonas pratensis","Bacteria;Proteobacteria;Betaproteobacteria","Ter291","SAMN04195678","PRJNA299267","GCA_001584225.1","Complete","chromosome:NZ_CP013236.1/CP013236.1",1,"2016-03-09T00:00:00Z"
"Zhongshania aliphaticivorans","Bacteria;Proteobacteria;Gammaproteobacteria","SM-2","SAMN04361929","PRJNA306719","GCA_001586255.1","Complete","chromosome:NZ_CP014544.1/CP014544.1",1,"2016-03-10T00:00:00Z"
"Sporosarcina psychrophila","Bacteria;Terrabacteria group;Firmicutes","DSM 6497","SAMN04515682","PRJNA313115","GCA_001590685.1","Complete","chromosome:NZ_CP014616.1/CP014616.1",1,"2016-03-14T00:00:00Z"
"Serratia ficaria","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC12148","SAMEA4384070","PRJEB6403","GCA_900187015.1","Complete","chromosome 1:NZ_LT906479.1/LT906479.1",1,"2017-08-15T00:00:00Z"
"Brevundimonas vesicularis","Bacteria;Proteobacteria;Alphaproteobacteria","FDAARGOS_289","SAMN06173302","PRJNA231221","GCA_002208825.2","Complete","chromosome:NZ_CP022048.2/CP022048.2",1,"2017-06-27T00:00:00Z"
"Cupriavidus oxalaticus","Bacteria;Proteobacteria;Betaproteobacteria","T2","SAMN09945366","PRJNA488920","GCA_008807855.1","Complete","chromosome 1:NZ_CP032518.1/CP032518.1; chromosome 2:NZ_CP032519.1/CP032519.1; plasmid unnamed1:NZ_CP032520.1/CP032520.1",3,"2019-10-03T00:00:00Z"
"Hydrogenophaga pseudoflava","Bacteria;Proteobacteria;Betaproteobacteria","DSM 1084","SAMN11056680","PRJNA525691","GCA_004353865.1","Complete","chromosome:NZ_CP037867.1/CP037867.1; plasmid pDSM1084:NZ_CP037868.1/CP037868.1",2,"2019-03-17T00:00:00Z"
"Planococcus maritimus","Bacteria;Terrabacteria group;Firmicutes","DSM 17275","SAMN05366382","PRJNA328207","GCA_001687625.2","Complete","chromosome:NZ_CP016538.2/CP016538.2",1,"2016-07-20T00:00:00Z"
"Edwardsiella anguillarum ET080813","Bacteria;Proteobacteria;Gammaproteobacteria","ET080813","SAMN02469761","PRJNA39899","GCA_000264765.2","Complete","chromosome:NZ_CP006664.1/CP006664.1; plasmid 1:NZ_CP006665.1/CP006665.1; plasmid 2:NZ_CP006666.1/CP006666.1",3,"2014-08-12T00:00:00Z"
"Helicobacter himalayensis","Bacteria;Proteobacteria;delta/epsilon subdivisions","YS1","SAMN04578135","PRJNA316195","GCA_001602095.1","Complete","chromosome:NZ_CP014991.1/CP014991.1",1,"2016-03-30T00:00:00Z"
"Psychrobacter alimentarius","Bacteria;Proteobacteria;Gammaproteobacteria","PAMC 27889","SAMN04549283","PRJNA315071","GCA_001606025.1","Complete","chromosome:NZ_CP014945.1/CP014945.1; plasmid pPAMC27889:NZ_CP014946.1/CP014946.1",2,"2016-04-04T00:00:00Z"
"Pontibacter akesuensis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","AKS 1T","SAMN04544428","PRJNA314846","GCA_001611675.1","Complete","chromosome:NZ_CP014766.1/CP014766.1; plasmid Paks1:NZ_CP014767.1/CP014767.1",2,"2016-04-06T00:00:00Z"
"Haematospirillum jordaniae","Bacteria;Proteobacteria;Alphaproteobacteria","H5569","SAMN04456661","PRJNA310863","GCA_001611975.1","Complete","chromosome:NZ_CP014525.1/CP014525.1; plasmid unnamed 1:NZ_CP014526.1/CP014526.1; plasmid unnamed 2:NZ_CP014527.1/CP014527.1",3,"2016-04-06T00:00:00Z"
"Jeotgalibacillus malaysiensis","Bacteria;Terrabacteria group;Firmicutes","D5","SAMN02870886","PRJNA253510","GCA_000818095.1","Complete","chromosome:NZ_CP009416.1/CP009416.1; plasmid unnamed:NZ_CP009417.1/CP009417.1",2,"2015-01-14T00:00:00Z"
"Escherichia marmotae","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC11133","SAMEA4557829","PRJEB6403","GCA_900637015.1","Complete","chromosome 1:NZ_LR134340.1/LR134340.1",1,"2018-12-19T00:00:00Z"
"Microbulbifer thermotolerans","Bacteria;Proteobacteria;Gammaproteobacteria","DAU221","SAMN04556710","PRJNA315367","GCA_001617625.1","Complete","chromosome:NZ_CP014864.1/CP014864.1",1,"2016-04-08T00:00:00Z"
"Sedimenticola thiotaurini","Bacteria;Proteobacteria;Gammaproteobacteria","SIP-G1","SAMN03581174","PRJNA282984","GCA_001007875.1","Complete","chromosome:NZ_CP011412.1/CP011412.1; plasmid unnamed:NZ_CP011413.1/CP011413.1",2,"2015-05-15T00:00:00Z"
"Aliarcobacter lanthieri","Bacteria;Proteobacteria;delta/epsilon subdivisions","LMG 28516","SAMN10884414","PRJNA521382","GCA_013201625.1","Complete","chromosome:NZ_CP053839.1/CP053839.1",1,"2020-06-01T00:00:00Z"
"Fictibacillus phosphorivorans","Bacteria;Terrabacteria group;Firmicutes","G25-29","SAMN03651894","PRJNA283510","GCA_001629705.2","Complete","chromosome:NZ_CP015378.1/CP015378.1",1,"2016-05-06T00:00:00Z"
"Polynucleobacter duraquae","Bacteria;Proteobacteria;Betaproteobacteria","MWH-MoK4","SAMN02708862","PRJNA240713","GCA_000973625.1","Complete","chromosome:NZ_CP007501.1/CP007501.1",1,"2015-04-20T00:00:00Z"
"Defluviimonas alba","Bacteria;Proteobacteria;Alphaproteobacteria","cai42","SAMN03956960","PRJNA291966","GCA_001620265.1","Complete","chromosome:NZ_CP012661.1/CP012661.1; plasmid pcai42A:NZ_CP012662.1/CP012662.1; plasmid pcai42B:NZ_CP012663.1/CP012663.1; plasmid pcai42C:NZ_CP012664.1/CP012664.1",4,"2016-04-15T00:00:00Z"
"Amycolatopsis keratiniphila","Bacteria;Terrabacteria group;Actinobacteria","HCCB10007","SAMN02603859","PRJNA85603","GCA_000400635.2","Complete","chromosome:NC_021252.1/CP003410.1; plasmid pXL100:NC_023497.1/CP003411.1",2,"2013-05-20T00:00:00Z"
"Anoxybacillus amylolyticus","Bacteria;Terrabacteria group;Firmicutes","DSM 15939","SAMN04570556","PRJNA315823","GCA_001634285.1","Complete","chromosome:NZ_CP015438.1/CP015438.1; plasmid pDSM15939_1:NZ_CP015439.1/CP015439.1; plasmid pDSM15939_2:NZ_CP015440.1/CP015440.1",3,"2016-04-29T00:00:00Z"
"Sphingobium barthaii","Bacteria;Proteobacteria;Alphaproteobacteria","KK22","SAMD00011324","PRJNA655586","GCA_015074805.1","Complete","chromosome 1:NZ_CP060035.1/CP060035.1; chromosome 2:NZ_CP060036.1/CP060036.1; plasmid p1:NZ_CP060037.1/CP060037.1; plasmid p2:NZ_CP060038.1/CP060038.1",4,"2020-10-29T00:00:00Z"
"Aurantiacibacter atlanticus","Bacteria;Proteobacteria;Alphaproteobacteria","s21-N3","SAMN03565637","PRJNA241282","GCA_001077815.2","Complete","chromosome:NZ_CP011310.1/CP011310.1; plasmid unnamed:NZ_CP015441.1/CP015441.1",2,"2015-07-14T00:00:00Z"
"Algibacter alginicilyticus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HZ22","SAMN04156175","PRJNA298144","GCA_001310225.1","Complete","chromosome:NZ_CP012898.1/CP012898.1",1,"2015-10-13T00:00:00Z"
"Moraxella ovis","Bacteria;Proteobacteria;Gammaproteobacteria","199/55","SAMN03455375","PRJNA280058","GCA_001636015.1","Complete","chromosome:NZ_CP011158.1/CP011158.1; plasmid pMOV1:NZ_CP011159.1/CP011159.1",2,"2016-05-02T00:00:00Z"
"Paenibacillus antarcticus","Bacteria;Terrabacteria group;Firmicutes","KACC 11469","SAMN12676117","PRJNA563551","GCA_008369725.1","Complete","chromosome:NZ_CP043611.1/CP043611.1",1,"2019-09-11T00:00:00Z"
"Dyella thiooxydans","Bacteria;Proteobacteria;Gammaproteobacteria","ATSB10","SAMN04433089","PRJNA309454","GCA_001641285.1","Complete","chromosome:NZ_CP014841.1/CP014841.1",1,"2016-05-10T00:00:00Z"
"Mariniblastus fucicola","Bacteria;PVC group;Planctomycetes","FC18","SAMN10980025","PRJNA485700","GCA_008087665.1","Complete","chromosome:NZ_CP042912.1/CP042912.1",1,"2019-08-26T00:00:00Z"
"Roseimaritima ulvae","Bacteria;PVC group;Planctomycetes","UC8","SAMN10980022","PRJNA485700","GCA_008065135.1","Complete","chromosome:NZ_CP042914.1/CP042914.1",1,"2019-08-22T00:00:00Z"
"Deinococcus puniceus","Bacteria;Terrabacteria group;Deinococcus-Thermus","DY1","SAMN03285365","PRJNA272727","GCA_001644565.1","Complete","chromosome:NZ_CP011387.1/CP011387.1",1,"2016-05-16T00:00:00Z"
"Paenibacillus swuensis","Bacteria;Terrabacteria group;Firmicutes","DY6","SAMN03287568","PRJNA272872","GCA_001644605.1","Complete","chromosome:NZ_CP011388.1/CP011388.1",1,"2016-05-16T00:00:00Z"
"Denitrobacterium detoxificans","Bacteria;Terrabacteria group;Actinobacteria","NPOH1","SAMN03610232","PRJNA283216","GCA_001643775.1","Complete","chromosome:NZ_CP011402.1/CP011402.1",1,"2016-05-16T00:00:00Z"
"Polynucleobacter asymbioticus QLW-P1DMWA-1","Bacteria;Proteobacteria;Betaproteobacteria","QLW-P1DMWA-1","SAMN02598371","PRJNA16679","GCA_000016345.1","Complete","chromosome:NC_009379.1/CP000655.1",1,"2007-04-12T00:00:00Z"
"Dietzia timorensis","Bacteria;Terrabacteria group;Actinobacteria","ID05-A0528","SAMN04219460","PRJNA345110","GCA_001659785.1","Complete","chromosome:NZ_CP015961.1/CP015961.1",1,"2016-06-07T00:00:00Z"
"Streptococcus pantholopis","Bacteria;Terrabacteria group;Firmicutes","TA 26","SAMN04534843","PRJNA314407","GCA_001642085.1","Complete","chromosome:NZ_CP014699.1/CP014699.1",1,"2016-05-11T00:00:00Z"
"Enterococcus thailandicus","Bacteria;Terrabacteria group;Firmicutes","a523","SAMN07572979","PRJNA400701","GCA_002290025.1","Complete","chromosome:NZ_CP023074.1/CP023074.1",1,"2017-09-12T00:00:00Z"
"Kerstersia gyiorum","Bacteria;Proteobacteria;Betaproteobacteria","SWMUKG01","SAMN10273024","PRJNA497911","GCA_004551665.1","Complete","chromosome:NZ_CP033936.1/CP033936.1",1,"2019-04-01T00:00:00Z"
"Ralstonia insidiosa","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 49129","SAMN05212263","PRJNA324646","GCA_001663855.1","Complete","chromosome 1:NZ_CP016022.1/CP016022.1; chromosome 2:NZ_CP016023.1/CP016023.1; plasmid pRI-1:NZ_CP016024.1/CP016024.1; plasmid pRI-2:NZ_CP016025.1/CP016025.1",4,"2016-06-14T00:00:00Z"
"Enterobacter soli","Bacteria;Proteobacteria;Gammaproteobacteria","LF7a","SAMN02232020","PRJNA41509","GCA_000224675.1","Complete","chromosome:NC_015968.1/CP003026.1; plasmid pENTAS01:NC_015963.1/CP003027.1; plasmid pENTAS02:NC_015969.1/CP003028.1",3,"2011-08-30T00:00:00Z"
"Streptomyces parvulus","Bacteria;Terrabacteria group;Actinobacteria","2297","SAMN04924834","PRJNA320204","GCA_001660045.1","Complete","chromosome:NZ_CP015866.1/CP015866.1; plasmid pSPA1:NZ_CP015867.1/CP015867.1",2,"2016-06-08T00:00:00Z"
"Croceicoccus marinus","Bacteria;Proteobacteria;Alphaproteobacteria","OT19","SAMN15700861","PRJNA650254","GCA_014211955.1","Complete","chromosome:NZ_CP060052.1/CP060052.1; plasmid plas1:NZ_CP060053.1/CP060053.1; plasmid plas2:NZ_CP060054.1/CP060054.1",3,"2020-08-16T00:00:00Z"
"Altererythrobacter ishigakiensis","Bacteria;Proteobacteria;Alphaproteobacteria","NBRC 107699","SAMN04870883","PRJNA319016","GCA_001663155.1","Complete","chromosome:NZ_CP015963.1/CP015963.1",1,"2016-06-15T00:00:00Z"
"Erythrobacter neustonensis","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 9434","SAMN05176187","PRJNA322640","GCA_001663175.1","Complete","chromosome:NZ_CP016033.1/CP016033.1",1,"2016-06-15T00:00:00Z"
"Orrella dioscoreae","Bacteria;Proteobacteria;Betaproteobacteria","Orrdi1","SAMEA4026966","PRJEB13663","GCA_900089455.2","Complete","chromosome I:NZ_LT907988.1/LT907988.1",1,"2017-10-10T23:03:00Z"
"Paraburkholderia tropica","Bacteria;Proteobacteria;Betaproteobacteria","IAC135","SAMN14119948","PRJNA607018","GCA_014171495.1","Complete","chromosome A:NZ_CP049134.1/CP049134.1; chromosome B:NZ_CP049135.1/CP049135.1; chromosome C:NZ_CP049136.1/CP049136.1; chromosome D:NZ_CP049137.1/CP049137.1; chromosome E:NZ_CP049138.1/CP049138.1",5,"2020-08-12T00:00:00Z"
"Acinetobacter lactucae","Bacteria;Proteobacteria;Gammaproteobacteria","QL-1","SAMN14846460","PRJNA630840","GCA_013122135.1","Complete","chromosome:NZ_CP053391.1/CP053391.1",1,"2020-05-19T00:00:00Z"
"Bordetella bronchialis","Bacteria;Proteobacteria;Betaproteobacteria","AU17976","SAMN05257179","PRJNA318508","GCA_001676745.1","Complete","chromosome:NZ_CP016171.1/CP016171.1",1,"2016-06-27T00:00:00Z"
"Bordetella flabilis","Bacteria;Proteobacteria;Betaproteobacteria","AU10664","SAMN05257178","PRJNA318508","GCA_001676725.1","Complete","chromosome:NZ_CP016172.1/CP016172.1; plasmid unnamed1:NZ_CP016173.1/CP016173.1",2,"2016-06-27T00:00:00Z"
"Woeseia oceani","Bacteria;Proteobacteria;Gammaproteobacteria","XK5","SAMN05285282","PRJNA326567","GCA_001677435.1","Complete","chromosome:NZ_CP016268.1/CP016268.1",1,"2016-06-30T00:00:00Z"
"Alteromonas naphthalenivorans","Bacteria;Proteobacteria;Gammaproteobacteria","SN2","SAMN02603134","PRJNA59947","GCA_000213655.1","Complete","chromosome:NC_015554.1/CP002339.1",1,"2011-05-13T00:00:00Z"
"Rathayibacter tanaceti","Bacteria;Terrabacteria group;Actinobacteria","VKM Ac-2761","SAMN12724564","PRJNA563711","GCA_009834165.1","Complete","chromosome:NZ_CP047186.1/CP047186.1",1,"2020-01-08T00:00:00Z"
"Dermabacter vaginalis","Bacteria;Terrabacteria group;Actinobacteria","AD1-86","SAMN03774729","PRJNA286956","GCA_001678905.1","Complete","chromosome:NZ_CP012117.1/CP012117.1",1,"2016-07-05T00:00:00Z"
"Moraxella nonliquefaciens","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_869","SAMN13450399","PRJNA231221","GCA_016028775.1","Complete","chromosome:NZ_CP065728.1/CP065728.1; plasmid unnamed:NZ_CP065727.1/CP065727.1",2,"2020-12-14T00:00:00Z"
"Polaribacter reichenbachii","Bacteria;FCB group;Bacteroidetes/Chlorobi group","6Alg 8T","SAMN06240835","PRJNA362672","GCA_001975665.1","Complete","chromosome:NZ_CP019419.1/CP019419.1",1,"2017-01-30T00:00:00Z"
"Azoarcus olearius","Bacteria;Proteobacteria;Betaproteobacteria","DQS-4","SAMN03468107","PRJNA280719","GCA_001682385.1","Complete","chromosome:NZ_CP016210.1/CP016210.1",1,"2016-07-08T00:00:00Z"
"Streptomyces lincolnensis","Bacteria;Terrabacteria group;Actinobacteria","LC-G","SAMN05466746","PRJNA335896","GCA_003344445.1","Complete","chromosome:NZ_CP022744.1/CP022744.1",1,"2018-07-27T00:00:00Z"
"Clostridium septicum","Bacteria;Terrabacteria group;Firmicutes","DSM 7534","SAMN07710202","PRJNA412368","GCA_003606265.1","Complete","chromosome:NZ_CP023671.1/CP023671.1; plasmid unnamed1:NZ_CP023672.1/CP023672.1",2,"2018-10-01T00:00:00Z"
"Paraurantiacibacter namhicola","Bacteria;Proteobacteria;Alphaproteobacteria","JCM 16345","SAMN04870533","PRJNA319016","GCA_001687545.1","Complete","chromosome:NZ_CP016545.1/CP016545.1",1,"2016-07-20T00:00:00Z"
"Planococcus plakortidis","Bacteria;Terrabacteria group;Firmicutes","DSM 23997","SAMN05366384","PRJNA328210","GCA_001687605.2","Complete","chromosome:NZ_CP016539.2/CP016539.2",1,"2016-07-20T00:00:00Z"
"Microbacterium sediminis","Bacteria;Terrabacteria group;Actinobacteria","YLB-01","SAMN11180679","PRJNA528380","GCA_004564075.1","Complete","chromosome:NZ_CP038256.1/CP038256.1; plasmid unnamed:NZ_CP038257.1/CP038257.1",2,"2019-04-02T00:00:00Z"
"Vibrio atlanticus","Bacteria;Proteobacteria;Gammaproteobacteria","LGP32","SAMEA2271989","PRJEA32815","GCA_000091465.1","Complete","chromosome 1:NC_011753.2/FM954972.2; chromosome 2:NC_011744.2/FM954973.2",2,"2008-12-17T00:00:00Z"
"Bradyrhizobium icense","Bacteria;Proteobacteria;Alphaproteobacteria","LMTR 13","SAMN05230120","PRJNA325367","GCA_001693385.1","Complete","chromosome:NZ_CP016428.1/CP016428.1",1,"2016-07-25T00:00:00Z"
"Tessaracoccus lapidicaptus","Bacteria;Terrabacteria group;Actinobacteria","TLA_E","SAMEA5227077","PRJEB30798","GCA_900659885.1","Complete","chromosome 1:NZ_LR214441.1/LR214441.1",1,"2020-09-16T00:00:00Z"
"Bradyrhizobium paxllaeri","Bacteria;Proteobacteria;Alphaproteobacteria","LMTR 21","SAMN05230119","PRJNA325366","GCA_001693515.2","Complete","chromosome:NZ_CP042968.1/CP042968.1",1,"2019-08-19T00:00:00Z"
"Stappia indica","Bacteria;Proteobacteria;Alphaproteobacteria","PHM037","SAMN13341662","PRJNA587233","GCA_009789575.1","Complete","chromosome:NZ_CP046908.1/CP046908.1",1,"2019-12-22T00:00:00Z"
"Wenyingzhuangia fucanilytica","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CZ1127","SAMN04451729","PRJNA309604","GCA_001697185.1","Complete","chromosome:NZ_CP014224.1/CP014224.1",1,"2016-08-02T00:00:00Z"
"Immundisolibacter cernigliae","Bacteria;Proteobacteria;Gammaproteobacteria","TR3.2","SAMN04528780","PRJNA314077","GCA_001697225.1","Complete","chromosome:NZ_CP014671.1/CP014671.1",1,"2016-08-02T00:00:00Z"
"Tsuneonella dongtanensis","Bacteria;Proteobacteria;Alphaproteobacteria","KCTC 22672","SAMN04870882","PRJNA319016","GCA_001698205.1","Complete","chromosome:NZ_CP016591.1/CP016591.1",1,"2016-08-02T00:00:00Z"
"Desulfuromonas soudanensis","Bacteria;Proteobacteria;delta/epsilon subdivisions","WTL","SAMN03287929","PRJNA272946","GCA_001278055.1","Complete","chromosome:NZ_CP010802.1/CP010802.1",1,"2015-09-02T00:00:00Z"
"Streptococcus halotolerans","Bacteria;Terrabacteria group;Firmicutes","HTS9","SAMN04562598","PRJNA315085","GCA_001598035.1","Complete","chromosome:NZ_CP014835.1/CP014835.1",1,"2016-03-28T00:00:00Z"
